feature,weight,rationale
sae_pending_count,0.25,Pending SAE reviews are critical safety signals requiring immediate attention
uncoded_meddra_count,0.15,Uncoded adverse events = untracked safety signals
missing_visit_count,0.12,Missing visits = missing safety monitoring touchpoints
missing_pages_count,0.1,Missing CRF pages = incomplete subject record
lab_issues_count,0.1,Lab issues can mask safety signals in bloodwork
max_days_outstanding,0.08,Delayed data entry reduces real-time safety visibility
max_days_page_missing,0.06,Long-missing pages indicate systemic site issues
uncoded_whodd_count,0.06,Uncoded drug terms affect medication tracking
edrr_open_issues,0.05,External data reconciliation issues
inactivated_forms_count,0.03,Inactivated forms indicate data corrections (lower risk)
